source,address,url,rent_eur,summary,beds,baths,furnished
daft.ie,"9 Dakota Court, Phibsborough, Dublin 7",https://www.daft.ie/for-rent/apartment-9-dakota-court-phibsborough-dublin-7/6326593,2251,,1,1,Unknown
daft.ie,"8 Chestnut Road, Mount Merrion, Co. Dublin",https://www.daft.ie/for-rent/house-8-chestnut-road-mount-merrion-co-dublin/6270137,3600,,3,2,Unknown
daft.ie,"Apartment 55, Canon Hall, Church Street East, IFSC, Dublin 1",https://www.daft.ie/for-rent/apartment-apartment-55-canon-hall-church-street-east-ifsc-dublin-1/6316714,2495,,2,1,Unknown
daft.ie,"219 Clontarf Road, Dublin 3, Clontarf",https://www.daft.ie/for-rent/apartment-219-clontarf-road-dublin-3-clontarf-dublin-3/6323456,2250,,1,1,Unknown
daft.ie,"Daneswell Place, Botanic Road, Glasnevin, Dublin 9, Glasnevin, Dublin 9",https://www.daft.ie/for-rent/studio-apartment-daneswell-place-botanic-road-glasnevin-dublin-9-glasnevin-dublin-9/6276548,1700,,1,1,Unknown
daft.ie,"Red Gap, Rathcoole, Co. Dublin",https://www.daft.ie/for-rent/house-red-gap-rathcoole-co-dublin/6332524,1,,1,1,Unknown
daft.ie,"Grosvenor Square, Dublin 6, Harold's Cross, Dublin 6",https://www.daft.ie/for-rent/apartment-grosvenor-square-dublin-6-harolds-cross-dublin-6/6342036,1814,,1,1,Unknown
daft.ie,"3 Lad Lane, Dublin 2, Dublin 2",https://www.daft.ie/for-rent/apartment-3-lad-lane-dublin-2-dublin-2/6340528,3400,,2,2,Unknown
daft.ie,"86 Rathmines Rd. Lower, Rathmines, Dublin 6",https://www.daft.ie/for-rent/apartment-86-rathmines-rd-lower-rathmines-dublin-6/6342004,1775,,1,1,Unknown
daft.ie,"KImmage Road West, Kimmage, Dublin 12",https://www.daft.ie/for-rent/studio-apartment-kimmage-road-west-kimmage-dublin-12/6341991,1150,,1,1,Unknown
daft.ie,"Mountjoy, Dublin 1, North Circular Road, Dublin 1",https://www.daft.ie/for-rent/house-mountjoy-dublin-1-north-circular-road-dublin-1/6262406,3295,,3,1,Unknown
daft.ie,"6 Whitethorn Way, Dublin 22, Palmerstown, Dublin 20",https://www.daft.ie/for-rent/studio-apartment-6-whitethorn-way-dublin-22-palmerstown-dublin-20/6341970,1150,,1,1,Unknown
daft.ie,"Cabra Park, Phibsborough, Phibsborough, Dublin 7",https://www.daft.ie/for-rent/apartment-cabra-park-phibsborough-phibsborough-dublin-7/6341774,1650,,1,1,Unknown
daft.ie," The Oaks, Herbert Park Lane, Donnybrook, Dublin 4",https://www.daft.ie/for-rent/apartment--the-oaks-herbert-park-lane-donnybrook-dublin-4/6341548,3000,,2,1,Unknown
daft.ie,"Sandymount Green, Dublin 4, Sandymount, Dublin 4",https://www.daft.ie/for-rent/apartment-sandymount-green-dublin-4-sandymount-dublin-4/6341388,4200,,2,1,Unknown
daft.ie,"Greeg Court, Dublin 1",https://www.daft.ie/for-rent/apartment-greeg-court-dublin-1/6341379,2450,,2,2,Unknown
daft.ie," Oaklands Terrace, Dublin 6, Rathgar, Dublin 6",https://www.daft.ie/for-rent/house--oaklands-terrace-dublin-6-rathgar-dublin-6/6340923,3600,,3,1,Unknown
daft.ie,"The Bay, Merrion Road, Merrion, Dublin 4",https://www.daft.ie/for-rent/apartment-the-bay-merrion-dublin-4/6338979,2250,,1,1,Unknown
daft.ie,"Maryfield Drive, Artane, Artane, Dublin 5",https://www.daft.ie/for-rent/studio-apartment-maryfield-drive-artane-artane-dublin-5/6339823,1600,,1,1,Unknown
daft.ie,"Castlecurragh Vale, Blanchardstown, Dublin 15",https://www.daft.ie/for-rent/apartment-castlecurragh-vale-blanchardstown-dublin-15/6340645,1500,,1,1,Unknown
daft.ie,"94 Emmet Road, Dublin 8, Inchicore, Dublin 8",https://www.daft.ie/for-rent/house-94-emmet-road-dublin-8-inchicore-dublin-8/6325686,3115,,3,3,Unknown
daft.ie,"Khyber Pass, Sorrento Heights, Sorrento Road, Dalk, Dalkey, Co. Dublin",https://www.daft.ie/for-rent/apartment-khyber-pass-sorrento-heights-sorrento-road-dalk-dalkey-co-dublin/6339883,2200,,1,1,Unknown
daft.ie,"Gardner Street, Dublin 1",https://www.daft.ie/for-rent/apartment-gardner-street-dublin-1/6339705,1850,,1,1,Unknown
daft.ie,"Lansdowne Court Shelbourne Road, Ballsbridge, Dublin 4",https://www.daft.ie/for-rent/apartment-shelbourne-court-shelbourne-lane-dublin-4-ballsbridge-dublin-4/6339672,2100,,1,1,Unknown
daft.ie,"Flat 1 , 27 Pearse Square, Dublin 2, Grand Canal Dock, Dublin 2",https://www.daft.ie/for-rent/apartment-flat-1-27-pearse-square-dublin-2-grand-canal-dock-dublin-2/6339280,2127,,1,2,Unknown
daft.ie,"Apartment, The Sweepstakes, Ballsbridge Park, Sandymount, Dublin 4",https://www.daft.ie/for-rent/apartment-apartment-the-sweepstakes-ballsbridge-park-sandymount-dublin-4/6339296,3100,,2,2,Unknown
daft.ie,"The Cedars, Carrington, Santry, Dublin 9",https://www.daft.ie/for-rent/apartment-the-cedars-carrington-santry-dublin-9/6338601,2050,,1,1,Unknown
